Update: [2013/12/05 12:01:38 (5.793938563)]
625] c0      1 Bluetooth: HCI device and connection manager initialized
<6>[    4.208026] c1      1 [USB] ci13xxx_pullup: 1
<6>[    4.208057] c1      1 [USB] unknown ci13xxx_udc event
<6>[    4.211078] c0      0 [USB] suspend
<6>[    4.216786] c1     20 msm_thermal: TSENS sensor 0 (39 C)
<7>[    4.436777] c0    137 [DISP] Drv: ReadHPD: D
<6>[    4.436777] c0    137 hdmi_msm hdmi_msm.1: HDMI HPD: event detected
<6>[    4.436807] c0    137 hdmi_msm hdmi_msm.1: HDMI HPD: QDSP OFF
<6>[    4.436868] c0    137 hdmi_msm hdmi_msm.1: CBusHPD :0, PreCBusHPD:0
<6>[    4.436868] c0    137 hdmi_msm hdmi_msm.1: HDMI HPD: sense DISCONNECTED: send OFFLINE
<6>[    4.436899] c0    137 hdmi_msm hdmi_msm.1: Hdmi state switch to 0: hdmi_msm_hpd_state_work
<6>[    4.436899] c0    137 hdmi_msm hdmi_msm.1: hdmi_msm_hpd_state_work: Ctrl=0006, State=0000
<6>[    4.562246] c0    273 [USB] reset
<6>[    4.562276] c0    273 [USB] Avail curr from USB = 0
<6>[    4.562276] c0    273 [USB] Power Supply doesn't support USB charger
<6>[    4.562276] c0    273 [BATT][CHG] Enter charge=0 (deprecated api)
<6>[    4.564504] c0    165 [USB] portsc = 88000a05
<6>[    4.564504] c0    165 [USB] portchange USB_SPEED_HIGH
<6>[    4.621730] c0    246 warning: `rild_qsc' uses 32-bit capabilities (legacy support in use)
<3>[    4.624172] c3    243 hsicctl hsicctl0: rmnet_ctl_open: Connection timedout opening hsicctl0
<6>[    4.636441] c0    236 [USB] reset
<7>[    4.637997] c3    286 [QSC] qsc_modem_ioctl: Entering ioctl cmd = 3
<7>[    4.638028] c3    286 [QSC] qsc_modem_ioctl: Entering ioctl cmd = 1
<7>[    4.638394] c3    259 [COMP][AKM8963] AKECS_GetOpenStatus++
<6>[    4.639523] c0      6 [USB] portsc = 88000a05
<6>[    4.639554] c0      6 [USB] portchange USB_SPEED_HIGH
<6>[    4.639615] c1      0 [PM] CPU1: msm_pm_power_collapse: change clock rate (old rate = 0)
<6>[    4.642423] c2    237 msm_thermal: Max frequency reset for cpu0
<6>[    4.642453] c2    237 msm_thermal: Max frequency reset for cpu2
<6>[    4.642453] c2    237 msm_thermal: Max frequency reset for cpu3
<6>[    4.642484] c2    237 msm_thermal: enabled = 0
<6>[    4.651701] c2      0 [PM] CPU2: msm_pm_power_collapse: change clock rate (old rate = 0)
<6>[    4.655699] c3      0 [PM] CPU3: msm_pm_power_collapse: change clock rate (old rate = 0)
<6>[    4.711368] c0    137 [DISP] mipi_dsi_on+:
<6>[    4.711368] c0    137 [DISP] mipi_dsi_panel_power: on=1
<6>[    4.723699] c1    246 [USBDIAG] diagchar_open:rild_qsc(parent:init): tgid=246
<6>[    4.724889] c0      0 composite_setup: OS_LINUX
<6>[    4.726598] c0      0 android_usb gadget: high-speed config #1: android
<6>[    4.726629] c0      0 [USB] Avail curr from USB = 500
<6>[    4.726629] c0      0 [USB] Power Supply doesn't support USB charger
<6>[    4.726659] c0      0 [BATT][CHG] Enter charge=500 (deprecated api)
<6>[    4.726995] c0    161 [USB] android_work: android_work: sent missed DISCONNECT event
<6>[    4.741126] c0    137 [DISP] dlp_china_lcd_on
<6>[    4.744819] c0    137 [DISP] mipi_dsi_on-:
<6>[    4.744819] c0    137 mdp_color_enhancement
<6>[    4.756783] c0    161 [USB] android_work: android_work: sent CONNECT event
<6>[    4.763650] c3    235 [USBDIAG] diagchar_open:rild(parent:init): tgid=235
<6>[    4.816786] c1    335 android_usb gadget: composite_request_reset
<6>[    4.816877] c1    335 [USB] ci13xxx_pullup: 0
<6>[    4.817091] c1    278 [USB] adb_release: adbd(parent:init): tgid=275
<6>[    4.817152] c0    276 [USB] adb_open: adbd(parent:init): tgid=275
<6>[    4.847001] c0    161 [USB] android_work: android_work: sent uevent USB_STATE=CONFIGURED
<6>[    4.896505] c0    137 [DISP] dlp_china_display_on
<6>[    4.896505] c0    137 [DISP] msm_fb_pan_display_sub: bl_level 0 ignore_bkl_zero 0
<6>[    4.896535] c0    137 [DISP] brightness orig=143, transformed=83
<6>[    4.948725] c3    242 wcnss_wlan triggered by userspace
<6>[    5.078162] c0    242 [WLAN][SSR] Get hw_ver_id = 0x2
<6>[    5.079108] c0    242 [WLAN][SSR] Wait for PLL warm-up
<6>[    5.079261] c0    242 [WLAN][SSR] Check PLL lock detection passed
<6>[    5.079261] c0    242 [WLAN][SSR] Wait for PLL Active ...OK!
<6>[    5.079291] c0    242 [WLAN][SSR] Use PXO for RIVA
<6>[    5.079322] c0    242 pil pil1: wcnss: Brought out of reset
<6>[    5.079383] c3    301 ion_client_create: create ion_client (qseecomd) at dd5bb8c0
<6>[    5.080115] c3    301 ion_client_create: create ion_client (qseecomd) at dd5bbdc0
<3>[    5.124339] c0    243 hsicctl hsicctl0: rmnet_ctl_open: Connection timedout opening hsicctl0
<6>[    5.149641] c0     63 [SYSMON] sysmon_probe() name=sys_mon
<6>[    5.168991] c0    116 [USBDIAG] diagchar_ioctl:kworker/u:2(parent:kthreadd): tgid=116
<6>[    5.169021] c0    116 [USBDIAG] diagchar_ioctl:kworker/u:2(parent:kthreadd): tgid=116
<6>[    5.169052] c0    116 [USBDIAG] diagchar_ioctl:kworker/u:2(parent:kthreadd): tgid=116
<6>[    5.169082] c0    116 [USBDIAG] diagchar_ioctl:kworker/u:2(parent:kthreadd): tgid=116
<6>[    5.169082] c0    116 [USBDIAG] diagchar_ioctl:kworker/u:2(parent:kthreadd): tgid=116
<6>[    5.169113] c0    116 [USBDIAG] diagchar_ioctl:kworker/u:2(parent:kthreadd): tgid=116
<6>[    5.326873] c1    335 [USB] ci13xxx_pullup: 1
<6>[    5.326903] c1    335 [USB] unknown ci13xxx_udc event
<6>[    5.329925] c0    274 [USB] suspend
<6>[    5.359194] c0    137 [WCNSS]wcnss_wlan_ctrl_probe: SMD ctrl channel up
<6>[    5.425026] c2    307 MDP: unknown ioctl (cmd=40106d2f, type=0x6d, nr=0x2f) received!
<6>[    5.425209] c3    477 hdmi_msm hdmi_msm.1: hdmi_3d_wta_format_3d: '7' (notify ready)
<6>[    5.590294] c0    254 [USB] reset
<6>[    5.590294] c0    254 [USB] Avail curr from USB = 0
<6>[    5.590325] c0    254 [USB] Power Supply doesn't support USB charger
<6>[    5.590325] c0    254 [BATT][CHG] Enter charge=0 (deprecated api)
<6>[    5.592553] c0    254 [USB] portsc = 88000a05
<6>[    5.592553] c0    254 [USB] portchange USB_SPEED_HIGH
<6>[    5.596215] c0    254 [USBDIAG] diagchar_open:mediaserver(parent:init): tgid=254
<6>[    5.597192] c1    254 [USBDIAG] diagchar_ioctl:mediaserver(parent:init): tgid=254
<6>[    5.597283] c1    254 ion_client_create: create ion_client (mediaserver) at dd5c7e40
<6>[    5.597436] c1    254 ion_client_create: create ion_client (audio_acdb_client) at dd5c7dc0
<6>[    5.597802] c1    254 [AUD] htc-acoustic: open
<6>[    5.597833] c1    254 dlp_china_enable_digital_mic[check dmic type]:skuid=0x38f01, system_rev=80 return 2
<6>[    5.597833] c1    254 [AUD] htc-acoustic: support components: 0x2
<6>[    5.597863] c1    254 [AUD] htc-acoustic: release
<3>[    5.624538] c0    243 hsicctl hsicctl0: rmnet_ctl_open: Connection timedout opening hsicctl0
<6>[    5.654478] c0    483 ion_client_create: create ion_client (surfaceflinger) at dd70b2c0
<6>[    5.664550] c0    165 [USB] reset
<6>[    5.665862] c3    506 ion_client_create: create ion_client (bootanimation) at dd6229c0
<6>[    5.666809] c0      0 [USB] portsc = 88000a05
<6>[    5.666809] c0      0 [USB] portchange USB_SPEED_HIGH
<6>[    5.752937] c0      0 composite_setup: OS_LINUX
<6>[    5.754249] c0      0 android_usb gadget: high-speed config #1: android
<6>[    5.754311] c0      0 [USB] Avail curr from USB = 500
<6>[    5.754311] c0      0 [USB] Power Supply doesn't support USB charger
<6>[    5.754311] c0      0 [BATT][CHG] Enter charge=500 (deprecated api)
<6>[    5.754402] c0    137 [USB] android_work: android_work: sent missed DISCONNECT event
<6>[    5.776804] c0    137 [USB] android_work: android_work: sent CONNECT event
<6>[    5.867053] c0    137 [USB] android_work: android_work: sent uevent USB_STATE=CONFIGURED
Update: [2013/12/05 12:01:41 (8.795339334)]
<3>[    6.125133] c0    243 hsicctl hsicctl0: rmnet_ctl_open: Connection timedout opening hsicctl0
<6>[    6.179917] c2    242 wcnss_wlan triggered by userspace
<6>[    6.184007] c2    332 mdp4_overlay_mdp_perf_upd mdp clk is changed [1] from 0 to 177780000
<6>[    6.188402] c2    332 mdp4_overlay_mdp_perf_upd mdp bw is changed [1] from 4 to 1
<6>[    6.296902] c2    502 [GYRO][R3GD20] r3gd20_disable: polling disabled
<7>[    6.296902] c2    502 [GYRO][R3GD20] gyro_power_LPM, on = 1, gyro_vreg_8921_l22 = 0x  (null)
<7>[    6.296932] c2    502 [GYRO][R3GD20] gyro_power_LPM, on = 1, gyro_vreg_8921_l21 = 0x  (null)
<3>[    6.296993] c2    502 '8921_l22_gyro' regulator not found, rc=1
<6>[    6.432473] c2    547 usb_wwan_open
<6>[    6.594231] c0    254 [AUD] htc-acoustic: open
<6>[    6.594231] c0    254 [AUD] htc-acoustic: ACOUSTIC_GET_CSD_CLIENT: 0x0
<6>[    6.594231] c0    254 [AUD] htc-acoustic: release
<6>[    6.595147] c0    254 [AUD] htc-acoustic: open
<6>[    6.595147] c0    254 [AUD] htc-acoustic: ACOUSTIC_SET_CSD_CLIENT: 1
<6>[    6.595177] c0    254 [AUD] htc-acoustic: release
<6>[    6.595208] c0    254 [AUD] htc-acoustic: open
<6>[    6.595208] c0    254 [AUD] htc-acoustic: support components: 0x20
<6>[    6.595238] c0    254 [AUD] htc-acoustic: release
<6>[    6.596612] c0    254 [AUD] rt5501: rt5501_ioctl: update rt5501 i2c commands #21 success.
<6>[    6.596612] c0    254 [AUD] rt5501: update_amp_parameter: set mode 2
<6>[    6.596612] c0    254 [AUD] rt5501: update_amp_parameter: set mode 1
<6>[    6.596642] c0    254 [AUD] rt5501: update_amp_parameter: set mode 0
<6>[    6.599633] c0    254 [AUD] htc-acoustic: open
<6>[    6.599664] c0    254 [AUD] htc-acoustic: Set Q6 Effect : 0
<6>[    6.599664] c0    254 apq8064_set_q6_effect_mode: mode 0
<6>[    6.599664] c0    254 [AUD] htc-acoustic: release
<6>[    6.606317] c0    254 apq8064_get_q6_effect_mode: mode 0
<6>[    6.606867] c0    254 [AUD] snd_soc_core: soc_dpcm_be_dai_startup:open BE MI2S Playback
<6>[    6.606867] c0    254 [AUD] snd_soc_core: soc_pcm_open: pcm open MI2S Playback
<6>[    6.606958] c0    254 [AUD] snd_soc_msm8960: spk amp on ++
<6>[    6.606958] c0    254 [AUD] tfa9887: set_tfa9887_spkamp: en = 1 dsp_enabled = 0
<6>[    6.607935] c0    254 [AUD] tfa9887l: set_tfa9887l_spkamp: en = 1 dsp_enabled = 0
<6>[    6.608576] c0    254 [AUD] snd_soc_msm8960: spk amp on --
<6>[    6.608606] c0    254 [AUD] snd_soc_core: soc_pcm_open: pcm open MultiMedia1
<6>[    6.608606] c0    254 [AUD] apr_register: Load Q6 image
<3>[    6.625270] c0    243 hsicctl hsicctl0: rmnet_ctl_open: Connection timedout opening hsicctl0
<6>[    6.748206] c0    254 scm-pas: init image, id:1
<6>[    6.748512] c0    254 scm-pas: init image, id:1 ret:0
<3>[    7.125438] c0    243 hsicctl hsicctl0: rmnet_ctl_open: Connection timedout opening hsicctl0
<6>[    7.218464] c1    242 wcnss_wlan triggered by userspace
<6>[    7.444620] c0    254 scm-pas: auth and reset, id:1
<6>[    7.607599] c0    254 scm-pas: auth and reset, id:1 ret:0
<6>[    7.611750] c0    254 pil pil0: q6: Brought out of reset
<3>[    7.625637] c0    243 hsicctl hsicctl0: rmnet_ctl_open: Connection timedout opening hsicctl0
<6>[    7.629848] c0     63 [SYSMON] sysmon_probe() name=sys_mon
<6>[    7.631161] c2    166 [USBDIAG] diagchar_ioctl:kworker/u:3(parent:kthreadd): tgid=166
<6>[    7.631161] c2    166 [USBDIAG] diagchar_ioctl:kworker/u:3(parent:kthreadd): tgid=166
<6>[    7.631191] c2    166 [USBDIAG] diagchar_ioctl:kworker/u:3(parent:kthreadd): tgid=166
<6>[    7.631191] c2    166 [USBDIAG] diagchar_ioctl:kworker/u:3(parent:kthreadd): tgid=166
<6>[    7.631191] c2    166 [USBDIAG] diagchar_ioctl:kworker/u:3(parent:kthreadd): tgid=166
<6>[    7.631222] c2    166 [USBDIAG] diagchar_ioctl:kworker/u:3(parent:kthreadd): tgid=166
<6>[    7.631222] c2    166 [USBDIAG] diagchar_ioctl:kworker/u:3(parent:kthreadd): tgid=166
<6>[    7.643583] c0     63 apr_tal:Q6 Is Up
<6>[    7.643766] c0    165 apr_tal: SMD_EVENT_OPEN
<3>[    7.660674] c1    116 diag: proc 2, msg mask update fail -12, tried 419
<6>[    7.887562] c0    254 apq8064_get_q6_effect_mode: mode 0
<6>[    7.887562] c0    254 [AUD] q6asm: q6asm_open_write_v2:change to HTC_POPP_TOPOLOGY
<6>[    7.894491] c0    254 apq8064_get_q6_effect_mode: mode 0
<6>[    7.894552] c0    254 ion_client_create: create ion_client (audio_client) at dd7dcc00
<6>[    7.897329] c0    254 [AUD] snd_soc_qdsp6: msm_pcm_hw_params:buf = dd65ca00
<6>[    7.897878] c0    254 apq8064_get_q6_effect_mode: mode 0
<6>[    7.901266] c0    254 [AUD] q6adm: adm_matrix_map: session 0x1 path:1 num_copps:1 port_id[0]:6
<6>[    7.901266] c0    254 [AUD] q6adm: adm_matrix_map: port_id[0]: 6, index: 6
<6>[    7.902701] c0    254 [AUD] q6afe: afe_port_start: 6 48000
<6>[    7.907401] c0    254 [AUD] tfa9887: tfa9887_ioctl: TPA9887_ENABLE_DSP
<6>[    7.949610] c1     78 [MDM][COMM] mdm_in_bootloader: got mdm2ap_bootloader interrupt
<3>[    7.949732] c1    116 [QSC] qsc_do_first_power_on: Powering on modem for the first time
<7>[    7.959835] c1    116 [QSC] qsc_do_first_power_on: Pulling AP2QSC_KPDPWR gpio high
<6>[    8.026857] c0    166 [BATT] unknown_usb_detect_worker
<6>[    8.034793] c0    254 [AUD] tfa9887: tfa9887_open: busy
<6>[    8.034823] c0    254 [AUD] tfa9887: tfa9887_ioctl: TPA9887_ENABLE_DSP
<6>[    8.034854] c0    254 [AUD] tfa9887l: tfa9887l_ioctl: TPA9887_ENABLE_DSP
<6>[    8.105203] c1     82 [QSC] qsc2ap_vddmin_handler: QSC2AP_VDDMIN rising.
<6>[    8.105234] c1     82 [QSC] qsc2ap_vddmin_handler: Do not pull AP2QSC_VDDMIN HIGH temporary.
<3>[    8.125835] c0    243 hsicctl hsicctl0: rmnet_ctl_open: Connection timedout opening hsicctl0
<6>[    8.160476] c0    254 [AUD] tfa9887l: tfa9887l_ioctl: TPA9887_ENABLE_DSP
<6>[    8.243491] c0    254 [AUD] snd_pcm: snd_pcm_drop: runtime->status->state 2
<6>[    8.246635] c1    242 wcnss_wlan triggered by userspace
<6>[    8.248679] c2    254 ion_client_destroy: destroy ion_client dd7dcc00 (audio_client)
<6>[    8.248710] c2    254 [AUD] q6adm: adm_close port_id=6 index 6
<6>[    8.252922] c0    254 [AUD] q6afe: afe_close: port_id=6
<6>[    8.256554] c0    254 [AUD] snd_soc_msm8960: spk amp off++
<6>[    8.256584] c0    254 [AUD] tfa9887: set_tfa9887_spkamp: en = 0 dsp_enabled = 1
<6>[    8.257347] c0    254 [AUD] tfa9887l: set_tfa9887l_spkamp: en = 0 dsp_enabled = 1
<6>[    8.257988] c0    254 [AUD] snd_soc_msm8960: spk amp off--
<6>[    8.327208] c2    254 apq8064_get_q6_effect_mode: mode 0
<6>[    8.327514] c2    254 [AUD] snd_soc_core: soc_dpcm_be_dai_startup:open BE MI2S Playback
<6>[    8.327514] c2    254 [AUD] snd_soc_core: soc_pcm_open: pcm open MI2S Playback
<6>[    8.327605] c2    254 [AUD] snd_soc_msm8960: spk amp on ++
<6>[    8.327605] c2    254 [AUD] tfa9887: set_tfa9887_spkamp: en = 1 dsp_enabled = 1
<6>[    8.328246] c2    254 [AUD] tfa9887l: set_tfa9887l_spkamp: en = 1 dsp_enabled = 1
<6>[    8.328857] c2    254 [AUD] snd_soc_msm8960: spk amp on --
<6>[    8.328887] c2    254 [AUD] snd_soc_core: soc_pcm_open: pcm open MultiMedia1
<6>[    8.329009] c2    254 apq8064_get_q6_effect_mode: mode 0
<6>[    8.329009] c2    254 [AUD] q6asm: q6asm_open_write_v2:change to HTC_POPP_TOPOLOGY
<6>[    8.333648] c0    254 apq8064_get_q6_effect_mode: mode 0
<6>[    8.333679] c0    254 ion_client_create: create ion_client (audio_client) at dd7e0c00
<6>[    8.336181] c0    254 [AUD] snd_soc_qdsp6: msm_pcm_hw_params:buf = dd65c200
<6>[    8.336273] c0    254 [AUD] snd_pcm: snd_pcm_drop: runtime->status->state 1
<6>[    8.340027] c0    254 ion_client_destroy: destroy ion_client dd7e0c00 (audio_client)
<6>[    8.340057] c0    254 [AUD] snd_soc_msm8960: spk amp off++
<6>[    8.340057] c0    254 [AUD] tfa9887: set_tfa9887_spkamp: en = 0 dsp_enabled = 1
<6>[    8.340698] c0    254 [AUD] tfa9887l: set_tfa9887l_spkamp: en = 0 dsp_enabled = 1
<6>[    8.341309] c0    254 [AUD] snd_soc_msm8960: spk amp off--
<6>[    8.346009] c0    254 apq8064_get_q6_effect_mode: mode 0
<6>[    8.346223] c0    254 [AUD] snd_soc_core: soc_dpcm_be_dai_startup:open BE MI2S Playback
<6>[    8.346253] c0    254 [AUD] snd_soc_core: soc_pcm_open: pcm open MI2S Playback
<6>[    8.346314] c0    254 [AUD] snd_soc_msm8960: spk amp on ++
<6>[    8.346314] c0    254 [AUD] tfa9887: set_tfa9887_spkamp: en = 1 dsp_enabled = 1
<6>[    8.346955] c0    254 [AUD] tfa9887l: set_tfa9887l_spkamp: en = 1 dsp_enabled = 1
<6>[    8.347596] c0    254 [AUD] snd_soc_msm8960: spk amp on --
<6>[    8.347596] c0    254 [AUD] snd_soc_core: soc_pcm_open: pcm open MultiMedia1
<6>[    8.347688] c0    254 apq8064_get_q6_effect_mode: mode 0
<6>[    8.347688] c0    254 [AUD] q6asm: q6asm_open_write_v2:change to HTC_POPP_TOPOLOGY
<6>[    8.351838] c0    254 apq8064_get_q6_effect_mode: mode 0
<6>[    8.351869] c0    254 ion_client_create: create ion_client (audio_client) at dd7e0440
<6>[    8.354249] c0    254 [AUD] snd_soc_qdsp6: msm_pcm_hw_params:buf = dd65c200
<6>[    8.354341] c0    254 [AUD] snd_pcm: snd_pcm_drop: runtime->status->state 1
<6>[    8.358065] c0    254 ion_client_destroy: destroy ion_client dd7e0440 (audio_client)
<6>[    8.358126] c0    254 [AUD] snd_soc_msm8960: spk amp off++
<6>[    8.358126] c0    254 [AUD] tfa9887: set_tfa9887_spkamp: en = 0 dsp_enabled = 1
<6>[    8.358766] c0    254 [AUD] tfa9887l: set_tfa9887l_spkamp: en = 0 dsp_enabled = 1
<6>[    8.359377] c0    254 [AUD] snd_soc_msm8960: spk amp off--
<6>[    8.360872] c0    254 apq8064_get_q6_effect_mode: mode 0
<6>[    8.361086] c0    254 [AUD] snd_soc_core: soc_dpcm_be_dai_startup:open BE MI2S Playback
<6>[    8.361086] c0    254 [AUD] snd_soc_core: soc_pcm_open: pcm open MI2S Playback
<6>[    8.361147] c0    254 [AUD] snd_soc_msm8960: spk amp on ++
<6>[    8.361178] c0    254 [AUD] tfa9887: set_tfa9887_spkamp: en = 1 dsp_enabled = 1
<6>[    8.361819] c0    254 [AUD] tfa9887l: set_tfa9887l_spkamp: en = 1 dsp_enabled = 1
<6>[    8.362612] c0    254 [AUD] snd_soc_msm8960: spk amp on --
<6>[    8.362612] c0    254 [AUD] snd_soc_core: soc_pcm_open: pcm open MultiMedia1
<6>[    8.362734] c0    254 apq8064_get_q6_effect_mode: mode 0
<6>[    8.362734] c0    254 [AUD] q6asm: q6asm_open_write_v2:change to HTC_POPP_TOPOLOGY
<6>[    8.366854] c0    254 apq8064_get_q6_effect_mode: mode 0
<6>[    8.366885] c0    254 ion_client_create: create ion_client (audio_client) at dd7e0c80
<6>[    8.369265] c0    254 [AUD] snd_soc_qdsp6: msm_pcm_hw_params:buf = dd65c200
<6>[    8.369357] c0    254 [AUD] snd_pcm: snd_pcm_drop: runtime->status->state 1
<6>[    8.373081] c0    254 ion_client_destroy: destroy ion_client dd7e0c80 (audio_client)
<6>[    8.373111] c0    254 [AUD] snd_soc_msm8960: spk amp off++
<6>[    8.373111] c0    254 [AUD] tfa9887: set_tfa9887_spkamp: en = 0 dsp_enabled = 1
<6>[    8.373721] c0    254 [AUD] tfa9887l: set_tfa9887l_spkamp: en = 0 dsp_enabled = 1
<6>[    8.374332] c0    254 [AUD] snd_soc_msm8960: spk amp off--
<6>[    8.377537] c0    254 apq8064_get_q6_effect_mode: mode 0
<6>[    8.377781] c0    254 [AUD] snd_soc_core: soc_dpcm_be_dai_startup:open BE MI2S Playback
<6>[    8.377781] c0    254 [AUD] snd_soc_core: soc_pcm_open: pcm open MI2S Playback
<6>[    8.377842] c0    254 [AUD] snd_soc_msm8960: spk amp on ++
<6>[    8.377872] c0    254 [AUD] tfa9887: set_tfa9887_spkamp: en = 1 dsp_enabled = 1
<6>[    8.378513] c0    254 [AUD] tfa9887l: set_tfa9887l_spkamp: en = 1 dsp_enabled = 1
<6>[    8.379124] c0    254 [AUD] snd_soc_msm8960: spk amp on --
<6>[    8.379124] c0    254 [AUD] snd_soc_core: soc_pcm_open: pcm open MultiMedia1
<6>[    8.379246] c0    254 apq8064_get_q6_effect_mode: mode 0
<6>[    8.379246] c0    254 [AUD] q6asm: q6asm_open_write_v2:change to HTC_POPP_TOPOLOGY
<6>[    8.383366] c0    254 apq8064_get_q6_effect_mode: mode 0
<6>[    8.383396] c0    254 ion_client_create: create ion_client (audio_client) at dd7e0640
<6>[    8.385777] c0    254 [AUD] snd_soc_qdsp6: msm_pcm_hw_params:buf = dd65c200
<6>[    8.385869] c0    254 [AUD] snd_pcm: snd_pcm_drop: runtime->status->state 1
<6>[    8.389592] c0    254 ion_client_destroy: destroy ion_client dd7e0640 (audio_client)
<6>[    8.389623] c0    254 [AUD] snd_soc_msm8960: spk amp off++
<6>[    8.389623] c0    254 [AUD] tfa9887: set_tfa9887_spkamp: en = 0 dsp_enabled = 1
<6>[    8.390233] c0    254 [AUD] tfa9887l: set_tfa9887l_spkamp: en = 0 dsp_enabled = 1
<6>[    8.390843] c0    254 [AUD] snd_soc_msm8960: spk amp off--
<6>[    8.392614] c0    254 apq8064_get_q6_effect_mode: mode 0
<6>[    8.392827] c0    254 [AUD] snd_soc_core: soc_dpcm_be_dai_startup:open BE MI2S Playback
<6>[    8.392827] c0    254 [AUD] snd_soc_core: soc_pcm_open: pcm open MI2S Playback
<6>[    8.392888] c0    254 [AUD] snd_soc_msm8960: spk amp on ++
<6>[    8.392919] c0    254 [AUD] tfa9887: set_tfa9887_spkamp: en = 1 dsp_enabled = 1
<6>[    8.393743] c0    254 [AUD] tfa9887l: set_tfa9887l_spkamp: en = 1 dsp_enabled = 1
<6>[    8.394353] c0    254 [AUD] snd_soc_msm8960: spk amp on --
<6>[    8.394384] c0    254 [AUD] snd_soc_core: soc_pcm_open: pcm open MultiMedia1
<6>[    8.394475] c0    254 apq8064_get_q6_effect_mode: mode 0
<6>[    8.394475] c0    254 [AUD] q6asm: q6asm_open_write_v2:change to HTC_POPP_TOPOLOGY
<6>[    8.398626] c0    254 apq8064_get_q6_effect_mode: mode 0
<6>[    8.398657] c0    254 ion_client_create: create ion_client (audio_client) at dd7e0900
<6>[    8.401037] c0    254 [AUD] snd_soc_qdsp6: msm_pcm_hw_params:buf = dd65c200
<6>[    8.401098] c0    254 [AUD] snd_pcm: snd_pcm_drop: runtime->status->state 1
<6>[    8.405066] c0    254 ion_client_destroy: destroy ion_client dd7e0900 (audio_client)
<6>[    8.405096] c0    254 [AUD] snd_soc_msm8960: spk amp off++
<6>[    8.405096] c0    254 [AUD] tfa9887: set_tfa9887_spkamp: en = 0 dsp_enabled = 1
<6>[    8.405737] c0    254 [AUD] tfa9887l: set_tfa9887l_spkamp: en = 0 dsp_enabled = 1
<6>[    8.406317] c0    254 [AUD] snd_soc_msm8960: spk amp off--
<6>[    8.409400] c2    254 apq8064_get_q6_effect_mode: mode 0
<6>[    8.409674] c2    254 [AUD] snd_soc_core: soc_dpcm_be_dai_startup:open BE MI2S Playback
<6>[    8.409674] c2    254 [AUD] snd_soc_core: soc_pcm_open: pcm open MI2S Playback
<6>[    8.409735] c2    254 [AUD] snd_soc_msm8960: spk amp on ++
<6>[    8.409735] c2    254 [AUD] tfa9887: set_tfa9887_spkamp: en = 1 dsp_enabled = 1
<6>[    8.410376] c0    254 [AUD] tfa9887l: set_tfa9887l_spkamp: en = 1 dsp_enabled = 1
<6>[    8.411017] c0    254 [AUD] snd_soc_msm8960: spk amp on --
<6>[    8.411017] c0    254 [AUD] snd_soc_core: soc_pcm_open: pcm open MultiMedia1
<6>[    8.411139] c0    254 apq8064_get_q6_effect_mode: mode 0
<6>[    8.411139] c0    254 [AUD] q6asm: q6asm_open_write_v2:change to HTC_POPP_TOPOLOGY
<6>[    8.415260] c0    254 apq8064_get_q6_effect_mode: mode 0
<6>[    8.415290] c0    254 ion_client_create: create ion_client (audio_client) at dd7e0b80
<6>[    8.418159] c0    254 [AUD] snd_soc_qdsp6: msm_pcm_hw_params:buf = dd65c200
<6>[    8.418312] c0    254 [AUD] snd_pcm: snd_pcm_drop: runtime->status->state 1
<6>[    8.422035] c0    254 ion_client_destroy: destroy ion_client dd7e0b80 (audio_client)
<6>[    8.422066] c0    254 [AUD] snd_soc_msm8960: spk amp off++
<6>[    8.422096] c0    254 [AUD] tfa9887: set_tfa9887_spkamp: en = 0 dsp_enabled = 1
<6>[    8.422707] c0    254 [AUD] tfa9887l: set_tfa9887l_spkamp: en = 0 dsp_enabled = 1
<6>[    8.423317] c0    254 [AUD] snd_soc_msm8960: spk amp off--
<6>[    8.424874] c0    254 apq8064_get_q6_effect_mode: mode 0
<6>[    8.425087] c0    254 [AUD] snd_soc_core: soc_dpcm_be_dai_startup:open BE MI2S Playback
<6>[    8.425087] c0    254 [AUD] snd_soc_core: soc_pcm_open: pcm open MI2S Playback
<6>[    8.425179] c0    254 [AUD] snd_soc_msm8960: spk amp on ++
<6>[    8.425179] c0    254 [AUD] tfa9887: set_tfa9887_spkamp: en = 1 dsp_enabled = 1
<6>[    8.425789] c0    254 [AUD] tfa9887l: set_tfa9887l_spkamp: en = 1 dsp_enabled = 1
<6>[    8.426400] c0    254 [AUD] snd_soc_msm8960: spk amp on --
<6>[    8.426430] c0    254 [AUD] snd_soc_core: soc_pcm_open: pcm open MultiMedia1
<6>[    8.426552] c0    254 apq8064_get_q6_effect_mode: mode 0
<6>[    8.426552] c0    254 [AUD] q6asm: q6asm_open_write_v2:change to HTC_POPP_TOPOLOGY
<6>[    8.430672] c0    254 apq8064_get_q6_effect_mode: mode 0
<6>[    8.430703] c0    254 ion_client_create: create ion_client (audio_client) at dd7e0240
<6>[    8.433084] c0    254 [AUD] snd_soc_qdsp6: msm_pcm_hw_params:buf = dd65c200
<6>[    8.433175] c0    254 [AUD] snd_pcm: snd_pcm_drop: runtime->status->state 1
<6>[    8.437021] c0    254 ion_client_destroy: destroy ion_client dd7e0240 (audio_client)
<6>[    8.437051] c0    254 [AUD] snd_soc_msm8960: spk amp off++
